epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54549,1.43347,2.0443,0.98954,0.56667,0.77273,0.60933,0.33738,1.65508,3.5949,1.25689,0.0671938,0.000164855,0.000164855
2,11.6944,1.3607,1.1593,0.99053,0.53752,0.95455,0.70836,0.31446,1.74244,1.23227,1.3125,0.0340239,0.00032824,0.00032824
3,17.0205,1.23663,1.03141,0.93584,0.75604,0.77479,0.83945,0.39307,1.64253,1.19391,1.28193,0.000850643,0.000488324,0.000488324
4,22.1944,1.17759,0.91351,0.93377,0.7967,0.81818,0.85056,0.3894,1.66,1.0608,1.27897,0.00048515,0.00048515,0.00048515
5,27.2783,1.16816,0.89861,0.94007,0.76531,0.88636,0.82527,0.41318,1.7099,1.05535,1.297,0.0004802,0.0004802,0.0004802
6,32.3901,1.12241,0.84142,0.93526,0.74313,0.81818,0.80988,0.3616,1.73574,1.14489,1.37164,0.00047525,0.00047525,0.00047525
7,37.5092,1.0791,0.79659,0.93073,0.75472,0.84091,0.81897,0.41795,1.59948,1.01358,1.30887,0.0004703,0.0004703,0.0004703
8,42.5107,1.0982,0.82014,0.92192,0.70848,0.79545,0.80587,0.39587,1.61189,1.15894,1.34604,0.00046535,0.00046535,0.00046535
9,47.5106,1.11212,0.81745,0.89798,0.66355,0.85175,0.78584,0.35193,1.77429,1.1953,1.38812,0.0004604,0.0004604,0.0004604
10,52.4897,1.07951,0.77471,0.89816,0.81393,0.90909,0.84559,0.4136,1.67379,1.23579,1.2602,0.00045545,0.00045545,0.00045545
11,57.6555,1.03943,0.75809,0.88284,0.8716,0.92571,0.89792,0.4845,1.56603,0.94197,1.23972,0.0004505,0.0004505,0.0004505
12,62.6782,1.05797,0.76922,0.89183,0.78662,0.92171,0.87613,0.44029,1.7391,0.95451,1.31266,0.00044555,0.00044555,0.00044555
13,67.6772,1.03355,0.71433,0.90714,0.76792,0.84091,0.8184,0.41014,1.67758,1.02572,1.26467,0.0004406,0.0004406,0.0004406
14,72.7902,1.06113,0.69116,0.90928,0.86954,0.90889,0.90139,0.45849,1.6308,0.89824,1.31593,0.00043565,0.00043565,0.00043565
15,77.8715,1.01065,0.71391,0.89332,0.74014,0.86364,0.85354,0.45226,1.63462,0.86365,1.32264,0.0004307,0.0004307,0.0004307
16,82.8853,0.99222,0.67787,0.88006,0.84512,0.93182,0.89391,0.44661,1.65445,0.83999,1.29007,0.00042575,0.00042575,0.00042575
17,87.8895,0.95239,0.65937,0.8819,0.85896,0.86364,0.90855,0.48586,1.55465,0.79603,1.26102,0.0004208,0.0004208,0.0004208
18,92.9286,1.01818,0.66846,0.88531,0.78141,0.90909,0.84394,0.47709,1.50495,0.9275,1.27176,0.00041585,0.00041585,0.00041585
19,97.9339,0.99652,0.65693,0.89239,0.77597,0.86599,0.87587,0.42001,1.64051,0.93264,1.36276,0.0004109,0.0004109,0.0004109
20,102.921,0.92842,0.61578,0.88084,0.83378,0.90909,0.91138,0.49127,1.64063,0.88618,1.33173,0.00040595,0.00040595,0.00040595
21,107.854,0.92681,0.61944,0.88098,0.78779,0.86364,0.8725,0.41779,1.71886,0.89745,1.37118,0.000401,0.000401,0.000401
22,112.874,0.93906,0.62071,0.88412,0.87084,0.95455,0.92791,0.50779,1.57584,0.8362,1.25644,0.00039605,0.00039605,0.00039605
23,117.966,0.9749,0.62937,0.8787,0.91028,0.92243,0.95546,0.488,1.64549,0.88434,1.33214,0.0003911,0.0003911,0.0003911
24,123.01,0.96255,0.60915,0.88251,0.85345,0.92658,0.91593,0.47167,1.70653,0.94648,1.3341,0.00038615,0.00038615,0.00038615
25,128.001,0.92559,0.5931,0.88108,0.87435,0.94899,0.92063,0.4756,1.64564,0.85511,1.3396,0.0003812,0.0003812,0.0003812
26,132.913,0.91503,0.59735,0.87001,0.87614,0.93182,0.94061,0.52736,1.51259,0.78026,1.27795,0.00037625,0.00037625,0.00037625
27,137.981,0.89169,0.57029,0.86924,0.82548,0.95455,0.93407,0.52333,1.50318,0.74503,1.23945,0.0003713,0.0003713,0.0003713
28,142.937,0.952,0.62624,0.88904,0.84663,0.88636,0.92308,0.49593,1.57228,0.91117,1.26003,0.00036635,0.00036635,0.00036635
29,147.956,0.90268,0.57342,0.85865,0.92033,0.88636,0.92545,0.47555,1.65905,1.0492,1.41335,0.0003614,0.0003614,0.0003614
30,152.999,0.89653,0.59232,0.85986,0.91302,0.90909,0.9516,0.50123,1.6044,0.86807,1.31767,0.00035645,0.00035645,0.00035645
31,158.06,0.89082,0.56828,0.86941,0.88984,0.91801,0.92648,0.49773,1.62864,0.87597,1.29896,0.0003515,0.0003515,0.0003515
32,163.017,0.91833,0.58509,0.86875,0.78405,0.86364,0.88191,0.38521,1.8256,1.01929,1.46933,0.00034655,0.00034655,0.00034655
33,168.049,0.89695,0.58965,0.8587,0.83651,0.90909,0.912,0.52636,1.5758,0.88947,1.2425,0.0003416,0.0003416,0.0003416
34,173.1,0.86678,0.53872,0.85223,0.91704,0.88636,0.93351,0.49136,1.68502,0.86353,1.3087,0.00033665,0.00033665,0.00033665
35,178.174,0.87136,0.54207,0.85539,0.89935,0.90909,0.96128,0.48732,1.62881,0.87492,1.31173,0.0003317,0.0003317,0.0003317
36,183.152,0.90127,0.56879,0.85489,0.8867,0.8894,0.93232,0.49019,1.56895,0.87466,1.27005,0.00032675,0.00032675,0.00032675
