epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.11885,1.48221,1.11754,1.08798,0.83702,0.79888,0.85631,0.4712,1.38127,1.16703,0.89605,0.0670865,0.000165394,0.000165394
2,16.5059,1.38712,1.01161,1.0374,0.86807,0.83333,0.89225,0.59253,1.08471,1.17867,0.82212,0.0339166,0.000328774,0.000328774
3,23.7549,1.336,0.94017,0.99455,0.89447,0.84758,0.94205,0.62963,1.04314,1.34731,0.82978,0.000743306,0.000488853,0.000488853
4,30.8701,1.28289,0.85373,0.99551,0.91604,0.8486,0.92695,0.66901,0.83415,0.75529,0.79556,0.00048515,0.00048515,0.00048515
5,37.9725,1.33755,0.94498,1.00718,0.9314,0.78889,0.919,0.60662,0.94564,0.99239,0.82397,0.0004802,0.0004802,0.0004802
6,45.1752,1.19942,0.84616,0.98774,0.79592,0.92222,0.93028,0.69146,0.84614,1.42413,0.77652,0.00047525,0.00047525,0.00047525
7,52.2927,1.20306,0.82568,0.96635,0.75676,0.81111,0.86345,0.588,1.01101,1.08487,0.79689,0.0004703,0.0004703,0.0004703
8,59.4468,1.18008,0.82242,0.94791,0.77943,0.86667,0.89754,0.62002,0.90229,1.48551,0.80825,0.00046535,0.00046535,0.00046535
9,66.4918,1.12639,0.87944,0.97092,0.79642,0.86937,0.90454,0.6246,0.87946,1.67305,0.80273,0.0004604,0.0004604,0.0004604
10,73.5132,1.15729,0.83045,0.96336,0.79532,0.88889,0.92228,0.67126,0.92599,0.85128,0.7838,0.00045545,0.00045545,0.00045545
11,80.5618,1.12957,0.78033,0.96035,0.84339,0.87778,0.92031,0.63486,1.00359,1.24484,0.78993,0.0004505,0.0004505,0.0004505
12,87.7866,1.14897,0.79965,0.97582,0.83219,0.88889,0.93686,0.69302,0.93497,0.6679,0.77925,0.00044555,0.00044555,0.00044555
13,95.0314,1.12062,0.73736,0.91609,0.83782,0.88889,0.93676,0.68417,0.97243,1.17053,0.77464,0.0004406,0.0004406,0.0004406
14,102.223,1.13332,0.76672,0.97028,0.79388,0.94149,0.93214,0.65917,0.90099,1.08291,0.78857,0.00043565,0.00043565,0.00043565
15,109.52,1.08791,0.74544,0.95008,0.88042,0.81808,0.92307,0.66915,0.88365,0.82484,0.77119,0.0004307,0.0004307,0.0004307
16,116.73,1.07469,0.77804,0.93285,0.85817,0.82222,0.91464,0.66026,0.92016,0.88847,0.77233,0.00042575,0.00042575,0.00042575
17,123.869,1.13745,0.70735,0.94574,0.79368,0.8976,0.93414,0.68652,0.9506,0.81542,0.78337,0.0004208,0.0004208,0.0004208
18,131.015,1.14279,0.71799,0.9549,0.86798,0.82222,0.89411,0.64597,0.96059,0.764,0.78536,0.00041585,0.00041585,0.00041585
19,138.257,1.08673,0.71331,0.94638,0.90612,0.82222,0.92152,0.68554,0.88123,0.86507,0.78245,0.0004109,0.0004109,0.0004109
20,145.338,1.10536,0.75126,0.9467,0.94131,0.71291,0.86549,0.6066,1.00758,0.89854,0.79311,0.00040595,0.00040595,0.00040595
21,152.543,1.05414,0.7317,0.93154,0.85107,0.88893,0.93433,0.67527,0.90873,0.66638,0.77667,0.000401,0.000401,0.000401
22,159.794,1.01358,0.68868,0.91381,0.92173,0.81111,0.9255,0.65178,0.90576,0.6064,0.80287,0.00039605,0.00039605,0.00039605
